#
# The 1990 Zip Code by State file is comma separated values, ASCII text, one record per line. 
# The field/record layout is as follows:
#
#      Field 1 - State Fips Code
#      Field 2 - 5-digit Zipcode
#      Field 3 - State Abbreviation
#      Field 4 - Zipcode Name
#      Field 5 - Longitude in Decimal Degrees (West is assumed, no minus sign)
#      Field 6 - Latitude in Decimal Degrees (North is assumed, no plus sign)
#      Field 7 - 1990 Population (100%)
#      Field 8 - Allocation Factor (decimal portion of state within zipcode)
#
# For complete details see:
#    http://landview.census.gov/geo/www/gazetteer/places.html
#
"06","95240","CA","LODI",121.263034,38.123579,42726,0.001436 
"06","95310","CA","COLUMBIA",120.405552,38.03975,1512,0.000051 
"06","95325","CA","HORNITOS",120.226443,37.492226,49,2E-6 
"06","95410","CA","ALBION",123.721366,39.215934,869,0.000029 
"06","95565","CA","SCOTIA",124.039074,40.454665,321,0.000011 
"06","95612","CA","CLARKSBURG",121.556853,38.395963,1501,0.00005 
"06","95614","CA","COOL",120.972963,38.903633,2325,0.000078 
"06","95633","CA","GARDEN VALLEY",120.856672,38.866495,3628,0.000122 
"06","95634","CA","GEORGETOWN",120.793388,38.919892,1634,0.000055 
"06","95949","CA","GRASS VALLEY",121.069357,39.1029,20973,0.000705 
"06","95993","CA","YUBA CITY",121.655168,39.128193,19635,0.00066 
"06","96007","CA","ANDERSON",122.328218,40.457432,20309,0.000682 
"06","96035","CA","GERBER",122.164937,40.042997,3337,0.000112 
"06","96050","CA","KLAMATH RIVER",122.819693,41.863699,174,6E-6 
"06","96104","CA","CEDARVILLE",120.151551,41.475871,991,0.000033 
"06","96128","CA","STANDISH",120.406847,40.350863,340,0.000011 
"06","96135","CA","VINTON",120.204994,39.720719,0,0 
"08","80016","CO","AURORA",104.741734,39.618713,4085,0.00124 
"08","80302","CO","BOULDER",105.285131,40.017235,29384,0.008919 
"08","80503","CO","LONGMONT",105.162432,40.15588,16814,0.005104 
"08","80726","CO","CROOK",102.847174,40.874743,638,0.000194 
"08","80727","CO","ECKLEY",102.482776,40.113775,242,0.000073 
"08","80832","CO","RAMAH",104.124733,39.073571,561,0.00017 
"08","80861","CO","VONA",102.739287,39.323564,295,0.00009 
"08","80864","CO","YODER",104.218353,38.775252,511,0.000155 
"08","81080","CO","81080",102.108268,38.438391,172,0.000052 
"08","81503","CO","GRAND JUNCTION",108.575609,39.056777,20467,0.006213 
"09","06022","CT","COLLINSVILLE",72.92827,41.851319,4630,0.001409 
"09","06081","CT","TARIFFVILLE",72.767786,41.907715,1477,0.000449 
"09","06092","CT","WEST SIMSBURY",72.857749,41.871797,3691,0.001123 
"09","06103","CT","HARTFORD",72.675966,41.767196,1202,0.000366 
"09","06524","CT","BETHANY",73.000704,41.426194,4730,0.001439 
"09","06830","CT","BYRAM",73.630047,41.030238,22685,0.006901 
"10","19971","DE","DEWEY BEACH",75.107346,38.714715,6249,0.009381 
"12","32205","FL","JACKSONVILLE",81.722034,30.317236,46463,0.003591 
"12","32331","FL","GREENVILLE",83.647397,30.451199,4107,0.000317 
"12","32691","FL","32691",82.046434,28.999563,10274,0.000794 
"12","32901","FL","MELBOURNE",80.620015,28.069132,21138,0.001634 
"12","33016","FL","HIALEAH",80.33681,25.880262,32053,0.002477 
"12","33054","FL","OPA LOCKA",80.247004,25.909662,30405,0.00235 
"12","33070","FL","TAVERNIER",80.521816,25.010788,6196,0.000479 
"12","33147","FL","MIAMI",80.236558,25.850675,49395,0.003818 
"12","33437","FL","BOYNTON BEACH",80.141812,26.531187,14809,0.001145 
"12","33442","FL","DEERFIELD BEACH",80.141242,26.312365,21532,0.001664 
"12","33613","FL","TAMPA",82.445519,28.077184,24849,0.001921 
"12","33625","FL","TAMPA",82.558987,28.072551,14778,0.001142 
"12","33865","FL","ONA",81.92805,27.412657,885,0.000068 
"12","33934","FL","IMMOKALEE",81.445365,26.409794,18066,0.001396 
"12","34223","FL","ENGLEWOOD",82.359886,26.966743,15705,0.001214 
"12","34644","FL","LARGO",82.826287,27.883597,20162,0.001558 
"12","34655","FL","NEW PORT RICHEY",82.680729,28.212898,13849,0.00107 
"12","34746","FL","KISSIMMEE",81.467478,28.26796,12922,0.000999 
"13","30501","GA","GAINESVILLE",83.825596,34.307269,22334,0.003448 
"13","30728","GA","LA FAYETTE",85.260212,34.692008,16287,0.002514 
"13","30742","GA","FORT OGLETHORPE",85.242812,34.964082,14807,0.002286 
"13","31077","GA","RHINE",83.19831,32.011303,1449,0.000224 
"13","31081","GA","RUPERT",84.273753,32.432524,208,0.000032 
"13","31304","GA","CRESCENT",81.389219,31.49675,2362,0.000365 
"15","96706","HI","EWA BEACH",158.010307,21.327418,26089,0.023541 
"16","83424","ID","FELT",111.189496,43.872407,40,0.00004 
"16","83837","ID","KELLOGG",116.125281,47.543069,4640,0.004609 
"17","60450","IL","MORRIS",88.417769,41.367233,13423,0.001174 
"17","60501","IL","ARGO",87.807468,41.784245,10525,0.000921 
"17","61313","IL","BLACKSTONE",88.649782,41.071945,258,0.000023 
"17","61475","IL","SCIOTA",90.707999,40.567361,622,0.000054 
